"","SPECIES","SURVEY","CRUISE","VESSEL_NAME","YEAR","LATITUDE","LONGITUDE","DEPTH_M","BOTTOM_TEMPERATURE_C","WEIGHT_KG","COUNT","AREA_SWEPT_KM2","CPUE_KGKM2","CPUE_NOKM2","ColdPool_Extent"
"243","YFS","EBS",202401,"ALASKA KNIGHT",2024,58.32625,-165.89189,44,2.3,328.9,1271,0.044154077,7448.91575924008,28785.5637883677,-0.0048340472280944
"244","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.9955,-165.89822,55,2.2,187.253,632,0.042891444,4365.74250099857,14734.8734633415,-0.0048340472280944
"245","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.6621,-165.85913,64,2.7,963.098,2905,0.043111104,22339.9057467886,67384.0317334485,-0.0048340472280944
"246","YFS","EBS",202401,"ALASKA KNIGHT",2024,57.31121,-165.84621,69,3,189.66,481,0.043384414,4371.6160370404,11086.9308964275,-0.0048340472280944
"247","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.9641,-165.84344,73,3.2,81.756,154,0.044826912,1823.81512248713,3435.43628434633,-0.0048340472280944
"248","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.9999,-164.65905,45,3.1,323.625,1617,0.04484865,7215.9362656401,36054.5969611125,-0.0048340472280944
"249","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,58.00003,-165.25331,50,2.7,358.34,1325,0.04165445,8602.68230645225,31809.3264945282,-0.0048340472280944
"250","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.64716,-165.24755,62,2.6,464.88,1610,0.045631894,10187.611322905,35282.3400229673,-0.0048340472280944
"251","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,57.32616,-165.23307,67,3,929.101,2780,0.044473395,20891.1642567427,62509.2822349182,-0.0048340472280944
"252","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.64215,-165.83279,79,2.9,3.38,4,0.046945514,71.9983596302727,85.2051593257665,-0.0048340472280944
"253","YFS","EBS",202401,"ALASKA KNIGHT",2024,56.31308,-165.80405,92,3.8,0,0,0.046966624,0,0,-0.0048340472280944
"254","YFS","EBS",202401,"ALASKA KNIGHT",2024,55.98527,-165.77752,107,3.9,0,0,0.048432672,0,0,-0.0048340472280944
"255","YFS","EBS",202401,"ALASKA KNIGHT",2024,55.62643,-165.78398,118,4,0,0,0.046698604,0,0,-0.0048340472280944
"256","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.97738,-165.23047,71,3.4,220.596,480,0.04764984,4629.52236565747,10073.4860809606,-0.0048340472280944
"257","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.64968,-165.22027,75,3.3,14.529,23,0.047880568,303.442515552447,480.361887102091,-0.0048340472280944
"258","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,56.31602,-165.19988,87,3.6,0,0,0.046066845,0,0,-0.0048340472280944
"259","YFS","EBS",202401,"NORTHWEST EXPLORER",2024,55.97889,-165.18631,97,3.9,0,0,0.045761232,0,0,-0.0048340472280944
"260","YFS","EBS",202401,"ALASKA KNIGHT",2024,55.31512,-165.76932,122,3.9,0,0,0.047381554,0,0,-0.0048340472280944
"261","YFS","EBS",202401,"ALASKA KNIGHT",2024,54.98743,-165.13897,111,4.3,0,0,0.044553278,0,0,-0.0048340472280944
"262","YFS","EBS",202401,"ALASKA KNIGHT",2024,54.82549,-165.54239,159,3.8,0,0,0.04996638,0,0,-0.0048340472280944
"263","YFS","EBS",202401,"ALASKA KNIGHT",2024,54.67014,-165.16374,84,5.4,0,0,0.04864608,0,0,-0.0048340472280944
